roi,r,p,metric
7Networks_RH_SomMot_16,0.3499616113506218,0.3215283696992084,Views
7Networks_RH_SomMot_17,0.5699312565017781,0.08541793609196591,Views
7Networks_RH_SomMot_18,0.3408439041229771,0.33515248981210943,Views
7Networks_RH_SomMot_19,0.6753030863045266,0.032125559107326396,Views
7Networks_RH_SomMot_20,0.4215737027642068,0.22496616286796012,Views
7Networks_RH_SomMot_21,-0.098241476080809,0.7871589021882421,Views
7Networks_RH_SomMot_22,0.3658588651857678,0.2984790761754581,Views
7Networks_RH_SomMot_23,0.6720298708045424,0.03329215226683731,Views
7Networks_RH_SomMot_24,0.609979728781418,0.06112472240178504,Views
7Networks_RH_SomMot_25,0.3813713380863697,0.276864961852752,Views
7Networks_RH_SomMot_26,0.38356803015543656,0.2738750474931618,Views
7Networks_RH_SomMot_27,0.469572795901413,0.1709117590504007,Views
7Networks_RH_SomMot_28,0.6746138125393577,0.03236887405513082,Views
7Networks_RH_SomMot_29,0.17772899784015625,0.6232675119113886,Views
7Networks_RH_SomMot_30,0.5121321820819491,0.1301879730025371,Views
7Networks_RH_SomMot_31,0.6804096844701232,0.030361531988328323,Views
7Networks_RH_SomMot_32,0.554058366413035,0.09653818330822495,Views
7Networks_RH_SomMot_33,0.42371632262557146,0.22236892628561425,Views
7Networks_RH_SomMot_34,0.31488343806369484,0.37552173582714193,Views
7Networks_RH_SomMot_35,0.5582744603498883,0.09349947399712737,Views
7Networks_RH_SomMot_36,0.5228805293123319,0.12095877359561892,Views
7Networks_RH_SomMot_37,0.5969649323181392,0.0684433169167345,Views
7Networks_RH_SomMot_38,0.506830641547098,0.13489559434220136,Views
7Networks_RH_SomMot_39,0.47273144006299206,0.1676577855363144,Views
7Networks_RH_SomMot_40,0.707331961018164,0.022142390335366306,Views
7Networks_RH_DorsAttn_Post_1,0.35432166656916725,0.31511707419945045,Views
7Networks_RH_DorsAttn_Post_2,0.5303811183986011,0.11476650246303022,Views
7Networks_RH_DorsAttn_Post_3,0.21031552310953092,0.5597502928524123,Views
7Networks_RH_DorsAttn_Post_4,0.4181508927088148,0.22915084613174053,Views
7Networks_RH_DorsAttn_Post_5,0.1988738254921924,0.5817650847921398,Views
7Networks_RH_DorsAttn_Post_6,0.7051303482630273,0.02274887934480352,Views
7Networks_RH_DorsAttn_Post_7,0.13666079591227867,0.7065753816799736,Views
7Networks_RH_DorsAttn_Post_8,0.7285200416471731,0.016864390209463904,Views
7Networks_RH_DorsAttn_Post_9,0.7510162561680009,0.012292686294470535,Views
7Networks_RH_DorsAttn_Post_10,0.2861149560198613,0.4228914072458469,Views
7Networks_RH_DorsAttn_Post_11,0.607489884587303,0.06248300051286644,Views
7Networks_RH_DorsAttn_Post_12,0.11189848496231511,0.7582640375480347,Views
7Networks_RH_DorsAttn_Post_13,0.6262689893049929,0.052716200363416364,Views
7Networks_RH_DorsAttn_Post_14,0.320736562570983,0.3662190578201029,Views
7Networks_RH_DorsAttn_Post_15,0.29655450596903715,0.40539045631927895,Views
7Networks_RH_DorsAttn_Post_16,0.3629751355065223,0.30259303924206443,Views
7Networks_RH_DorsAttn_Post_17,0.30366231720739056,0.3936762914421612,Views
7Networks_RH_DorsAttn_Post_18,0.4795373416799342,0.16077328856685216,Views
7Networks_RH_DorsAttn_Post_19,0.6842422423204217,0.029081797713271164,Views
7Networks_RH_DorsAttn_FEF_1,0.2658682762673675,0.45780896311359986,Views
7Networks_RH_DorsAttn_FEF_2,0.4599710921805818,0.18103277983854218,Views
7Networks_RH_DorsAttn_FEF_3,0.5567546997151451,0.09458769424725869,Views
7Networks_RH_DorsAttn_PrCv_1,0.2161982153764294,0.5485590540851336,Views
7Networks_RH_SalVentAttn_TempOccPar_1,0.10399712519448456,0.7749507993415001,Views
7Networks_RH_SalVentAttn_TempOccPar_2,0.1307729943019854,0.7187762591572456,Views
7Networks_RH_SalVentAttn_TempOccPar_3,-0.16628602124280267,0.6461416419065698,Views
7Networks_RH_SalVentAttn_TempOccPar_4,0.121335611455129,0.7384515786087495,Views
7Networks_RH_SalVentAttn_TempOccPar_5,0.2764710291141796,0.43936528222723953,Views
7Networks_RH_SalVentAttn_TempOccPar_6,0.5951694615882055,0.06949578256743738,Views
7Networks_RH_SalVentAttn_TempOccPar_7,0.4522607190759096,0.1894105951447146,Views
7Networks_RH_SalVentAttn_PrC_1,0.25908852610195987,0.4697806149866287,Views
7Networks_RH_SalVentAttn_FrOperIns_1,-0.6816732988815721,0.029935442028417258,Views
7Networks_RH_SalVentAttn_FrOperIns_2,-0.5014150230583059,0.13981111947328845,Views
7Networks_RH_SalVentAttn_FrOperIns_3,-0.4209963188791477,0.22566899310124316,Views
7Networks_RH_SalVentAttn_FrOperIns_4,0.16159986979860164,0.6555880135232797,Views
7Networks_RH_SalVentAttn_FrOperIns_5,-0.5106647329474211,0.13148071743200052,Views
7Networks_RH_SalVentAttn_FrOperIns_6,-0.2020009774031047,0.5757162449433922,Views
7Networks_RH_SalVentAttn_FrOperIns_7,-0.13810090606853603,0.7036001651131146,Views
7Networks_RH_SalVentAttn_FrOperIns_8,0.1767493785424032,0.6252147552445759,Views
7Networks_RH_SalVentAttn_PFCl_1,-0.03841255963373252,0.9160964006911704,Views
7Networks_RH_SalVentAttn_Med_1,-0.29028864337729854,0.415852762894331,Views
7Networks_RH_SalVentAttn_Med_2,0.43111545087619896,0.21353207987804756,Views
7Networks_RH_SalVentAttn_Med_3,0.34845546821066503,0.323758739959058,Views
7Networks_RH_SalVentAttn_Med_4,0.012383686550889825,0.9729148395882523,Views
7Networks_RH_SalVentAttn_Med_5,0.29420277913952786,0.40930239586381467,Views
7Networks_RH_SalVentAttn_Med_6,0.43300548239301573,0.21130770778849406,Views
7Networks_RH_SalVentAttn_Med_7,0.362602570682609,0.3031267251239003,Views
7Networks_RH_SalVentAttn_Med_8,0.12896413494957204,0.7225362854213311,Views
7Networks_RH_Limbic_OFC_1,0.19610322114338485,0.5871439378746752,Views
7Networks_RH_Limbic_OFC_2,0.08284109097698357,0.8200236148465925,Views
7Networks_RH_Limbic_OFC_3,0.7575335988084124,0.011150581963176944,Views
7Networks_RH_Limbic_OFC_4,0.5514871197380128,0.0984218370841244,Views
7Networks_RH_Limbic_OFC_5,0.687879693981133,0.027901727089507302,Views
